gene	longname	codelen	nnei	nncd	nsil	nmis	nstp	nspl	nind	nnon	npat	nsite	pCV	pCL	pFN	p	q			Legend:	
TIFA	TRAF-interacting protein with forkhead-associated domain	555	90	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
GPR6	G protein-coupled receptor 6	1138	67	0	1	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
COX6B2	cytochrome c oxidase subunit VIb polypeptide 2 (testis)	275	51	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
F2R	coagulation factor II (thrombin) receptor	1505	25	0	1	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
OCLM	oculomedin	135	2	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
KRTAP12-3	keratin associated protein 12-3	291	216	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
FAM53C	"family with sequence similarity 53, member C"	1191	21	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
VPS28	vacuolar protein sorting 28 homolog (S. cerevisiae)	812	3	0	1	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
PXMP4	"peroxisomal membrane protein 4, 24kDa"	671	11	0	1	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
ASIC2	acid-sensing (proton-gated) ion channel 2	2285	23	0	2	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
RAP1GAP	RAP1 GTPase activating protein	2612	34	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
GLYCTK	glycerate kinase	1719	1	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
KNSTRN		1024	32	0	1	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
CRLF2	cytokine receptor-like factor 2	2024	12	0	2	2	0	0	0	2	2	2	9.86E-01	1	3.67E-01	1.00E+00	1				
IRF2BPL	interferon regulatory factor 2 binding protein-like	2391	56	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
TEX13A	testis expressed 13A	1236	0	0	4	2	0	0	0	2	2	2	9.86E-01	1	7.96E-01	1.00E+00	1				
PCYT2	"phosphate cytidylyltransferase 2, ethanolamine"	1276	174	0	1	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
SPACA4	sperm acrosome associated 4	375	73	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
EMC8	ER membrane protein complex subunit 8	649	158	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
PPP1R7	"protein phosphatase 1, regulatory (inhibitor) subunit 7"	1151	73	0	1	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
OLAH	oleoyl-ACP hydrolase	1095	9	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
ACSBG1	acyl-CoA synthetase bubblegum family member 1	2227	7	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
SPINK14	"serine peptidase inhibitor, Kazal type 14 (putative)"	306	96	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
AAMDC		902	180	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
FADS2	fatty acid desaturase 2	1861	111	0	1	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
TMEM160	transmembrane protein 160	575	27	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
FGF3	fibroblast growth factor 3 (murine mammary tumor virus integration site (v-int-2) oncogene homolog)	728	435	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
GSTZ1	glutathione transferase zeta 1 (maleylacetoacetate isomerase)	703	18	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
VIPR2	vasoactive intestinal peptide receptor 2	2184	0	0	4	1	0	0	1	2	2	2	9.86E-01	1	5.42E-01	1.00E+00	1				
CEBPE	"CCAAT/enhancer binding protein (C/EBP), epsilon"	850	75	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
TRIM39	tripartite motif-containing 39	1612	29	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
VPREB3	pre-B lymphocyte gene 3	376	5	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
ABCC1	"ATP-binding cassette, sub-family C (CFTR/MRP), member 1"	4750	31	0	4	2	0	0	0	2	2	2	9.86E-01	1	9.26E-01	1.00E+00	1				
RGS7	regulator of G-protein signaling 7	1605	47	0	1	2	0	0	0	2	2	2	9.86E-01	1	8.29E-01	1.00E+00	1				
OR2L3	"olfactory receptor, family 2, subfamily L, member 3"	939	36	0	1	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
C9orf9	chromosome 9 open reading frame 9	691	104	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
APRT	adenine phosphoribosyltransferase	612	89	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
RBM23	RNA binding motif protein 23	1368	8	0	1	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
CNTN5	contactin 5	3395	1	0	7	11	0	1	0	12	10	12	9.86E-01	1	8.02E-01	1.00E+00	1				
PYCR1	pyrroline-5-carboxylate reductase 1	1155	186	0	1	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
SLC17A9	"solute carrier family 17, member 9"	1402	33	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
RALA	v-ral simian leukemia viral oncogene homolog A (ras related)	633	97	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
FASTKD3	FAST kinase domains 3	2009	19	0	3	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
RNF2	ring finger protein 2	1033	236	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
FAM3B	"family with sequence similarity 3, member B"	822	26	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
KCNE3	"potassium voltage-gated channel, Isk-related family, member 3"	312	234	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
GRIN2A	"glutamate receptor, ionotropic, N-methyl D-aspartate 2A"	4439	0	0	8	7	0	0	0	7	7	7	9.86E-01	1	3.95E-01	1.00E+00	1				
GATM	glycine amidinotransferase (L-arginine:glycine amidinotransferase)	1319	11	0	1	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
RBBP7	retinoblastoma binding protein 7	1472	35	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
MRPS31	mitochondrial ribosomal protein S31	1212	68	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
PI4K2A	phosphatidylinositol 4-kinase type 2 alpha	1823	100	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
CAPS	calcyphosine	844	282	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
CCDC159	coiled-coil domain containing 159	934	44	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
TSPAN16	tetraspanin 16	812	44	0	1	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
OLFM2	olfactomedin 2	1385	4	0	2	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
TOMM70A	translocase of outer mitochondrial membrane 70 homolog A (S. cerevisiae)	1871	47	0	1	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
CHTOP	chromatin target of PRMT1	784	88	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
RNF4	ring finger protein 4	665	221	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
PRKRA	"protein kinase, interferon-inducible double stranded RNA dependent activator"	1000	5	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
TAF7	"TAF7 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 55kDa"	1050	52	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
CCDC134	coiled-coil domain containing 134	710	2	0	1	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
MOCS3	molybdenum cofactor synthesis 3	1383	0	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
SPDYC	speedy homolog C (Drosophila)	906	88	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
C6orf57	chromosome 6 open reading frame 57	335	92	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
RASD2	"RASD family, member 2"	805	52	0	1	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
CCL27	chemokine (C-C motif) ligand 27	347	230	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
CACNG2	"calcium channel, voltage-dependent, gamma subunit 2"	984	39	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
WFDC13	WAP four-disulfide core domain 13	290	192	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
C9orf72	chromosome 9 open reading frame 72	1484	18	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
PLEKHF2	"pleckstrin homology domain containing, family F (with FYVE domain) member 2"	750	42	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
SLC9A3R1	"solute carrier family 9 (sodium/hydrogen exchanger), member 3 regulator 1"	1097	23	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
PAX2	paired box 2	1381	11	0	2	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
CTNNBIP1	"catenin, beta interacting protein 1"	254	3	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
LRRC59	leucine rich repeat containing 59	1030	2	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
MRPL27	mitochondrial ribosomal protein L27	519	2	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
PDHA1	pyruvate dehydrogenase (lipoamide) alpha 1	1383	51	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
TSPAN7	tetraspanin 7	1000	455	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
DDB2	"damage-specific DNA binding protein 2, 48kDa"	1320	40	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
SOX8	SRY (sex determining region Y)-box 8	1349	14	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
UBL5	ubiquitin-like 5	234	11	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
ATP1B4	"ATPase, (Na+)/K+ transporting, beta 4 polypeptide"	1102	10	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
ATP5EP2	"ATP synthase, H+ transporting, mitochondrial F1 complex, epsilon subunit pseudogene 2"	156	2	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
ETV3	ets variant gene 3	1581	233	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
ODF1	outer dense fiber of sperm tails 1	757	169	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
MYNN	myoneurin	1879	20	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
TSPYL4	TSPY-like 4	1245	27	0	1	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
IL33	interleukin 33	837	153	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
TAAR6	trace amine associated receptor 6	1038	62	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
TAAR8	trace amine associated receptor 8	1029	62	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
UTS2	urotensin 2	603	199	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
SCAMP3	secretory carrier membrane protein 3	1076	19	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
TKT	transketolase (Wernicke-Korsakoff syndrome)	1952	4	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
ZBTB39	zinc finger and BTB domain containing 39	2139	21	0	1	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
FUT6	"fucosyltransferase 6 (alpha (1,3) fucosyltransferase)"	1134	24	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
PLSCR2	phospholipid scramblase 2	918	47	0	1	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
FTMT	ferritin mitochondrial	729	0	0	6	4	1	0	0	5	4	5	9.87E-01	1	8.63E-01	1.00E+00	1				
VPS29	vacuolar protein sorting 29 homolog (S. cerevisiae)	666	24	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
GJB5	"gap junction protein, beta 5, 31.1kDa"	822	27	0	1	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
OR5M9	"olfactory receptor, family 5, subfamily M, member 9"	933	18	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
PRSS42	"protease, serine, 42"	959	111	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
ZRSR2	"zinc finger (CCCH type), RNA-binding motif and serine/arginine rich 2"	1732	35	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
WFDC8	WAP four-disulfide core domain 8	747	275	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
OR5A2	"olfactory receptor, family 5, subfamily A, member 2"	975	38	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
OR5AN1	"olfactory receptor, family 5, subfamily AN, member 1"	936	38	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
LYRM9		308	15	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
N4BP2L1	NEDD4 binding protein 2-like 1	821	80	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
TTC9C	tetratricopeptide repeat domain 9C	940	46	0	1	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
LST1	leukocyte specific transcript 1	391	17	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
CYSTM1	cysteine-rich transmembrane module containing 1	298	236	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
TMEM184B	transmembrane protein 184B	1252	69	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
IFRG15	torsin A interacting protein 2	396	229	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
GRM7	"glutamate receptor, metabotropic 7"	2922	9	0	1	11	0	0	0	11	7	11	9.88E-01	1	8.27E-01	1.00E+00	1				
RNASE8	"ribonuclease, RNase A family, 8"	465	175	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
ARIH2OS		873	12	0	1	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
MRPL28	mitochondrial ribosomal protein L28	938	38	0	1	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
SH3BGRL2	SH3 domain binding glutamic acid-rich protein like 2	336	293	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
LRRC24	leucine rich repeat containing 24	1554	192	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
CIZ1	CDKN1A interacting zinc finger protein 1	2840	0	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
DPP10	dipeptidyl-peptidase 10	2606	67	0	3	8	0	1	0	9	5	9	9.88E-01	1	6.25E-01	1.00E+00	1				
SREK1IP1	SREK1-interacting protein 1	484	42	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
SUFU	suppressor of fused homolog (Drosophila)	1655	5	0	2	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
UFD1L	ubiquitin fusion degradation 1 like (yeast)	968	46	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
HCLS1	hematopoietic cell-specific Lyn substrate 1	1511	15	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
RPL35A	ribosomal protein L35a	345	42	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
HLA-DQA1	"major histocompatibility complex, class II, DQ alpha 1"	780	28	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
CALM2	"calmodulin 2 (phosphorylase kinase, delta)"	647	221	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
PRKCSH	protein kinase C substrate 80K-H	1668	37	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
TCTA	T-cell leukemia translocation altered gene	320	152	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
MESDC2	mesoderm development candidate 2	713	18	0	1	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
AKR1C3	"aldo-keto reductase family 1, member C3 (3-alpha hydroxysteroid dehydrogenase, type II)"	1021	55	0	1	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
AIM1L	absent in melanoma 1-like	2436	12	0	3	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
TMED1	transmembrane emp24 protein transport domain containing 1	754	16	0	1	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
PITPNB	"phosphatidylinositol transfer protein, beta"	937	203	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
SMIM15		225	3	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
LEP	leptin	508	237	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
TRMT44	tRNA methyltransferase 44 homolog (S. cerevisiae)	2344	103	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
CDKN2AIP	CDKN2A interacting protein	1754	5	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
POLR2M	polymerase (RNA) II (DNA directed) polypeptide M	1250	13	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
GALE	UDP-galactose-4-epimerase	1083	37	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
APOD	apolipoprotein D	582	17	0	1	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
OR8A1	"olfactory receptor, family 8, subfamily A, member 1"	981	79	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
OR2H2	"olfactory receptor, family 2, subfamily H, member 2"	939	189	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
ZFHX4	zinc finger homeobox 4	10900	1	0	14	34	0	1	2	37	17	37	9.88E-01	1	8.12E-01	1.00E+00	1				
CRYZ	"crystallin, zeta (quinone reductase)"	1018	13	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
C16orf13	chromosome 16 open reading frame 13	706	26	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
RIT1	Ras-like without CAAX 1	731	72	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
C9orf37	chromosome 9 open reading frame 37	533	76	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
C4orf46	chromosome 4 open reading frame 46	346	71	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
CLCF1	cardiotrophin-like cytokine factor 1	686	95	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
RP1-170O19.20		347	216	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
CREBL2	cAMP responsive element binding protein-like 2	375	76	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
LTBR	"lymphotoxin beta receptor (TNFR superfamily, member 3)"	1385	30	0	1	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
HSBP1	heat shock factor binding protein 1	241	1	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
FAM124B	family with sequence similarity 124B	1461	82	0	1	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
ANKRD29	ankyrin repeat domain 29	1164	84	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
FBXO9	F-box protein 9	1393	82	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
NDFIP2	Nedd4 family interacting protein 2	1037	36	0	1	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
TMEM72	transmembrane protein 72	844	174	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
OR2M3	"olfactory receptor, family 2, subfamily M, member 3"	939	62	0	1	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
PSMA8	"proteasome (prosome, macropain) subunit, alpha type, 8"	795	12	0	1	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
PRSS3	"protease, serine, 3"	1078	39	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
FBXO33	F-box protein 33	1680	172	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
C2orf83	chromosome 2 open reading frame 83	560	158	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
MRPL30	mitochondrial ribosomal protein L30	568	83	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
GAS8	growth arrest-specific 8	1477	29	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
PCNXL3	pecanex-like 3 (Drosophila)	6241	90	0	3	2	0	0	0	2	2	2	9.89E-01	1	7.93E-01	1.00E+00	1				
NDUFA2	"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 2, 8kDa"	333	285	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
C19orf18	chromosome 19 open reading frame 18	668	46	0	1	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
COX16	COX16 cytochrome c oxidase assembly homolog (S. cerevisiae)	333	48	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
UTY	"ubiquitously transcribed tetratricopeptide repeat gene, Y-linked"	4678	12	0	0	3	0	1	0	4	4	4	9.89E-01	1	9.34E-01	1.00E+00	1				
NDUFC2	"NADH dehydrogenase (ubiquinone) 1, subcomplex unknown, 2, 14.5kDa"	420	31	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
SCGB1D2	"secretoglobin, family 1D, member 2"	281	40	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
SCGB1D4	"secretoglobin, family 1D, member 4"	260	40	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
RMI1	"RMI1, RecQ mediated genome instability 1, homolog (S. cerevisiae)"	1878	23	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
SPC24	"SPC24, NDC80 kinetochore complex component, homolog (S. cerevisiae)"	610	153	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
TRAF5	TNF receptor-associated factor 5	1712	7	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
DLL4	delta-like 4 (Drosophila)	2098	0	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
RMND1	required for meiotic nuclear division 1 homolog (S. cerevisiae)	1390	96	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
PILRB	paired immunoglobin-like type 2 receptor beta	1066	3	0	1	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
GLYATL2	glycine-N-acyltransferase-like 2	901	20	0	1	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
GABRB3	"gamma-aminobutyric acid (GABA) A receptor, beta 3"	1819	10	0	1	3	0	0	0	3	3	3	9.89E-01	1	3.28E-01	1.00E+00	1				
CGB2	"chorionic gonadotropin, beta polypeptide 2"	500	182	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
UBAC1	UBA domain containing 1	1254	39	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
RPS4Y2	"ribosomal protein S4, Y-linked 2"	816	28	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
AC005609.1		579	397	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
TMEM258		248	215	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
MPV17L2	MPV17 mitochondrial membrane protein-like 2	637	230	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
KRBOX4		622	461	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
MRPL38	mitochondrial ribosomal protein L38	1175	167	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
PCDH8	protocadherin 8	3221	6	0	5	2	0	0	0	2	2	2	9.89E-01	1	8.94E-01	1.00E+00	1				
APBA1	"amyloid beta (A4) precursor protein-binding, family A, member 1 (X11)"	2558	14	0	4	5	0	0	0	5	4	5	9.89E-01	1	6.14E-01	1.00E+00	1				
COPS5	COP9 constitutive photomorphogenic homolog subunit 5 (Arabidopsis)	1050	255	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
NPIPB5		3426	107	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
RBM22	RNA binding motif protein 22	1323	68	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
CAV2	caveolin 2	539	154	0	0	0	0	0	0	0	0	0	1.00E+00	NaN	NaN	1.00E+00	1				
GRM3	"glutamate receptor, metabotropic 3"	2799	11	0	4	4	1	0	0	5	5	5	9.89E-01	1	3.66E-01	1.00E+00	1				
